Title,Release_Date,Reviews,Original_Price ($),Percent_Discount (%),Discounted_Price ($)
Counter-Strike: Global Offensive,Aug 21. 2012,Very Positive,Free to Play,,Free to Play
The Sims™ 4,Jun 18. 2020,Very Positive,$39.99,-88%,4.79                    
Sea of Thieves,Jun 3. 2020,Very Positive,$39.99,-50%,19.99                    
Rust,Feb 8. 2018,Very Positive,$39.99,-33%,26.79                    
The Elder Scrolls® Online,May 22. 2017,Very Positive,$19.99,-60%,7.99                    
Hades,Sep 17. 2020,Overwhelmingly Positive,$24.99,-20%,19.99                    
Sid Meier’s Civilization® VI,Oct 20. 2016,Very Positive,$59.99,-75%,14.99                    
Grand Theft Auto V,Apr 13. 2015,Very Positive,$29.99,-50%,14.99                    
Tom Clancy's Rainbow Six® Siege,Dec 1. 2015,Very Positive,$19.99,-60%,7.99                    
Red Dead Redemption 2,Dec 5. 2019,Very Positive,$59.99,-33%,40.19                    
Raft,May 23. 2018,Very Positive,$19.99,-33%,13.39                    
Halo: The Master Chief Collection,Dec 3. 2019,Very Positive,$39.99,-40%,23.99                    
Phasmophobia,Sep 18. 2020,Overwhelmingly Positive,$13.99,-10%,12.59                    
Horizon Zero Dawn™ Complete Edition,Aug 7. 2020,Mostly Positive,$49.99,-20%,39.99                    
DOOM Eternal,Mar 19. 2020,Very Positive,$59.99,-67%,19.79                    
Borderlands 3,Mar 13. 2020,Very Positive,$59.99,-67%,19.79                    
Monster Hunter: World,Aug 9. 2018,Very Positive,$29.99,-34%,19.79                    
Sid Meier's Civilization VI : Platinum Edition,,Very Positive,$167.91,-76%,39.69                    
ARK: Survival Evolved,Aug 27. 2017,Mostly Positive,$49.99,-80%,9.99                    
Dead by Daylight,Jun 14. 2016,Very Positive,$19.99,-60%,7.99                    
Black Desert Online,May 24. 2017,Mostly Positive,$9.99,-70%,2.99                    
The Forest,Apr 30. 2018,Very Positive,$19.99,-50%,9.99                    
Total War: WARHAMMER II,Sep 28. 2017,Very Positive,$59.99,-66%,20.39                    
Stellaris,May 9. 2016,Very Positive,$39.99,-75%,9.99                    
Stardew Valley,Feb 26. 2016,Overwhelmingly Positive,$14.99,-33%,9.99                    
Among Us,Nov 16. 2018,Overwhelmingly Positive,$4.99,-20%,3.99                    
Team Fortress 2,Oct 10. 2007,Very Positive,Free to Play,,Free to Play
STAR WARS Jedi: Fallen Order™,Nov 14. 2019,Very Positive,$59.99,-60%,23.99                    
Deep Rock Galactic,May 13. 2020,Overwhelmingly Positive,$29.99,-30%,20.99                    
Planet Zoo,Nov 5. 2019,Very Positive,$44.99,-50%,22.49                    
Cities: Skylines,Mar 10. 2015,Very Positive,$29.99,-75%,7.49                    
STAR WARS™: Squadrons,Oct 1. 2020,Mostly Positive,$39.99,-40%,23.99                    
The Elder Scrolls V: Skyrim Special Edition,Oct 27. 2016,Very Positive,$39.99,-60%,15.99                    
Crusader Kings III,Sep 1. 2020,Very Positive,$49.99,-20%,39.99                    
Satisfactory,Jun 8. 2020,Overwhelmingly Positive,$29.99,-20%,23.99                    
STAR WARS™ Battlefront™ II,Jun 11. 2020,Very Positive,$39.99,-70%,11.99                    
DARK SOULS™ III,Apr 11. 2016,Very Positive,$59.99,-75%,14.99                    
No Man's Sky,Aug 12. 2016,Mixed,$59.99,-50%,29.99                    
DayZ,Dec 13. 2018,Mixed,$44.99,-50%,22.49                    
Monster Hunter World: Iceborne,Jan 9. 2020,Mixed,$39.99,-38%,24.79                    
theHunter: Call of the Wild™,Feb 16. 2017,Very Positive,$19.99,-70%,5.99                    
Fallout 76,Apr 14. 2020,Mostly Positive,$39.99,-67%,13.19                    
Risk of Rain 2,Aug 11. 2020,Overwhelmingly Positive,$24.99,-20%,19.99                    
Half-Life: Alyx,Mar 23. 2020,Overwhelmingly Positive,$59.99,-25%,44.99                    
The Witcher 3: Wild Hunt - Game of the Year Edition,Aug 30. 2016,Overwhelmingly Positive,$49.99,-70%,14.99                    
Tabletop Simulator,Jun 5. 2015,Overwhelmingly Positive,$19.99,-50%,9.99                    
Fall Guys: Ultimate Knockout,Aug 3. 2020,Very Positive,$19.99,-20%,15.99                    
Yakuza: Like a Dragon,Nov 10. 2020,Overwhelmingly Positive,$59.99,-25%,44.99                    
The Witcher® 3: Wild Hunt,May 18. 2015,Overwhelmingly Positive,$39.99,-70%,11.99                    
EA SPORTS™ FIFA 21,Oct 8. 2020,Mostly Positive,$79.99,-63%,29.59                    
